episode_returns,episode_lengths,total_episodes
-98.0,83,5000
-81.0,75,5000
-18.0,30,5000
-42.0,45,5000
-104.0,89,5000
-213.0,162,5000
-87.0,90,5000
-104.0,89,5000
-170.0,128,5000
-35.0,38,5000
-139.0,124,5000
-30.0,24,5000
-78.0,81,5000
-69.0,81,5000
-153.0,93,5000
-188.0,155,5000
-48.0,51,5000
11.0,10,5000
-23.0,26,5000
-161.0,119,5000
-122.0,89,5000
14.0,7,5000
-180.0,156,5000
8.0,13,5000
5.0,16,5000
-3.0,15,5000
11.0,10,5000
-31.0,34,5000
-111.0,105,5000
-161.0,137,5000
-45.0,39,5000
14.0,7,5000
-74.0,59,5000
-154.0,139,5000
-20.0,41,5000
-40.0,61,5000
-37.0,49,5000
-104.0,98,5000
-149.0,107,5000
-134.0,128,5000
-111.0,123,5000
-30.0,42,5000
-56.0,59,5000
-158.0,134,5000
-20.0,41,5000
-71.0,74,5000
-9.0,21,5000
-19.0,40,5000
-82.0,76,5000
-4.0,16,5000
-144.0,120,5000
-29.0,41,5000
-101.0,104,5000
-143.0,128,5000
4.0,17,5000
-44.0,56,5000
-53.0,56,5000
0.0,21,5000
-121.0,106,5000
-56.0,59,5000
-96.0,81,5000
-28.0,31,5000
1.0,20,5000
7.0,14,5000
-63.0,57,5000
-4.0,25,5000
-149.0,116,5000
-159.0,126,5000
-68.0,71,5000
-73.0,67,5000
-146.0,122,5000
-84.0,69,5000
-13.0,25,5000
-11.0,14,5000
8.0,13,5000
-66.0,69,5000
8.0,13,5000
-90.0,66,5000
9.0,12,5000
9.0,12,5000
5.0,16,5000
-42.0,45,5000
-126.0,111,5000
13.0,8,5000
-122.0,125,5000
11.0,10,5000
13.0,8,5000
-100.0,85,5000
-19.0,31,5000
-38.0,59,5000
-47.0,68,5000
-45.0,48,5000
15.0,6,5000
-43.0,46,5000
-96.0,90,5000
-78.0,81,5000
-26.0,20,5000
-35.0,47,5000
8.0,13,5000
-82.0,85,5000
-43.0,46,5000
-124.0,91,5000
-58.0,70,5000
-76.0,79,5000
-2.0,23,5000
7.0,14,5000
-83.0,68,5000
-171.0,129,5000
-119.0,113,5000
-131.0,116,5000
4.0,17,5000
1.0,20,5000
-16.0,28,5000
-2.0,14,5000
-33.0,36,5000
-43.0,46,5000
-17.0,29,5000
-10.0,22,5000
-42.0,54,5000
-41.0,44,5000
-55.0,58,5000
-55.0,49,5000
11.0,10,5000
-22.0,34,5000
